# x 	 avg 	 50% 	 1% 	 99% 
0	11817.4796287	11817.5419327	11817.3616058	11817.7166296
500	12059.5334219	12059.6089711	12052.065114	12067.3776698
1000	12305.0574538	12305.1115777	12293.3696888	12316.6233125
1500	12553.9555546	12553.9503444	12537.9388653	12568.9181839
2000	12806.1470888	12806.1377648	12786.4262583	12824.8460426
2500	13062.0170824	13062.1402501	13036.6056915	13084.3008867
3000	13321.1699238	13321.2397426	13293.5148526	13346.6284402
3500	13583.2629691	13583.4040514	13552.5523025	13612.6793663
4000	13848.91375	13849.4249675	13814.5217952	13885.1736213
4500	14117.8560469	14117.721743	14080.1576388	14160.7924901
5000	14390.3127553	14389.5267445	14348.9974127	14436.3608698
5500	14666.1074878	14666.0089423	14620.1365196	14714.1975663
6000	14945.1350963	14945.4559223	14892.2010617	14997.4366817
6500	15227.2166823	15226.9500952	15173.0858987	15281.9948672
7000	15513.3370606	15513.8813938	15454.3173628	15575.1918556
7500	15802.0600556	15802.1514109	15738.6767668	15869.804845
8000	16094.1760344	16094.7098124	16023.2698662	16167.4821199
8500	16389.8143472	16390.7376261	16314.1241963	16467.3957402
9000	16688.5143381	16688.7772359	16609.4642633	16773.0194185
9500	16990.7165803	16991.1812311	16903.9950132	17082.6836443
10000	17295.5855073	17297.2882795	17208.0069022	17384.3793182
10500	17604.6506622	17605.7801866	17508.0788729	17700.7732308
11000	17916.3133637	17916.9722784	17812.2333153	18021.683271
11500	18231.0595962	18231.7665987	18126.293501	18332.9130936
12000	18549.1447837	18550.4766181	18433.110934	18661.494992
12500	18870.4068964	18869.293163	18747.987237	18987.4032541
13000	19194.9072389	19194.0712531	19069.5911734	19319.9032606
13500	19521.92899	19523.2984472	19390.4871841	19648.2131183
14000	19851.8744128	19850.6010817	19713.9759029	19983.8483303
14500	20184.8620237	20185.7106041	20032.512393	20330.4115217
15000	20521.3450072	20521.0207776	20374.5576435	20673.8813077
15500	20861.2126396	20861.6661876	20717.0726212	21030.8578764
16000	21203.5726427	21205.0244822	21050.0112489	21366.7833231
16500	21548.3544719	21552.1802369	21387.2898208	21728.3345945
17000	21897.1829998	21899.2754795	21729.8575646	22083.5839587
17500	22248.0610476	22250.3488135	22079.7443868	22438.4455396
18000	22601.5420865	22601.7718716	22422.6097145	22812.2185381
18500	22958.1117463	22955.648684	22767.182512	23168.5722121
19000	23317.9717915	23316.1567515	23121.4513899	23538.8558201
19500	23679.8778707	23678.5608624	23474.7205803	23894.8378929
20000	24044.2245613	24043.6215073	23835.0832674	24273.0698593
20500	24410.0758807	24408.610163	24199.326765	24644.6946066
21000	24779.7376467	24776.8061464	24560.6487905	25034.5874545
21500	25151.9579304	25146.1221711	24924.7683862	25404.0364432
22000	25525.4152407	25523.7789751	25296.800141	25785.6031935
22500	25903.0130663	25899.299704	25663.9031371	26184.1034698
23000	26282.3530425	26277.3355803	26034.2022269	26562.1093882
23500	26662.9880665	26660.0553429	26396.2235072	26955.5827536
24000	27046.1485601	27044.0745668	26783.1673626	27337.0282368
24500	27432.213678	27427.5554421	27156.9386307	27723.9839141
25000	27820.8420092	27816.6924189	27547.6811708	28114.0438532
25500	28211.7381193	28209.4095999	27923.1351702	28528.3607981
26000	28605.5337211	28599.9351135	28325.0017742	28927.477837
26500	29002.2907262	29001.1382448	28704.7689543	29348.1348026
27000	29398.9480584	29396.2914504	29095.4313279	29742.7985724
27500	29798.9967859	29792.9181126	29472.5872577	30148.6690594
28000	30200.3903047	30197.689352	29871.8618085	30547.9213
28500	30604.8779681	30605.1955204	30267.7911401	30963.30864
29000	31009.8125285	31008.5313258	30663.0746032	31382.5730367
29500	31418.219999	31419.5302484	31059.8685047	31787.515368
30000	31828.5862453	31826.761389	31453.9916164	32216.6869297
30500	32238.5850763	32239.6282234	31863.5939272	32637.8311047
31000	32650.7259608	32652.8564278	32282.2583107	33035.1258634
31500	33064.9728035	33063.2877527	32658.9727424	33452.241507
32000	33481.5542271	33481.0946278	33068.9527831	33861.0731007
32500	33900.6823118	33899.2848996	33466.1000135	34296.0950384
33000	34321.6551858	34319.8017523	33887.1774319	34735.9858863
33500	34741.9667779	34741.4078626	34294.3894567	35160.8775146
34000	35164.4735164	35159.0528093	34707.5839091	35578.809777
34500	35589.1630862	35585.301647	35142.8947134	36032.1217968
35000	36016.0351197	36006.4090373	35579.6176502	36478.1821674
35500	36442.7199492	36433.4715505	35990.3144414	36913.8606121
36000	36871.559995	36866.7752322	36388.0779683	37339.1039252
36500	37303.736785	37294.1534531	36811.1571857	37772.0299429
37000	37733.2660003	37728.4338854	37241.6563245	38248.3791427
37500	38164.2691182	38157.7383646	37657.7645726	38687.8280734
38000	38595.173378	38588.8006889	38099.3215723	39134.1504597
38500	39031.3252817	39024.2755577	38514.7205683	39550.4151262
39000	39466.5537508	39461.1074424	38943.2275489	40002.2500358
39500	39904.8295909	39900.5364399	39375.9126503	40439.6217057
40000	40342.8007754	40337.1532296	39818.913856	40919.7383288
40500	40780.5773842	40775.6663927	40234.3976835	41367.0836527
41000	41220.7386453	41218.4629301	40669.1094811	41806.9220676
41500	41659.4629938	41657.2614251	41124.8711649	42252.4917027
42000	42101.461089	42095.8765972	41545.2305568	42708.7410287
42500	42544.1367694	42541.8671786	41983.9199296	43144.8678127
43000	42988.8350609	42980.6448041	42405.8353679	43594.2886289
43500	43436.1396205	43424.5011497	42835.19208	44050.8863673
44000	43881.2141624	43873.4607283	43266.0654512	44504.866637
44500	44328.4462393	44323.8322891	43694.8851478	44996.4186405
